#,Naam,Buy order,Sell offer,Profit/item,Margin,Volume/wk,Score
717,Corrupted Nether Star,66.5K,73.6K,6.2K,9.7%,196.3K,0.546
718,Ink Sack:4,1,5,4,77.9%,2.50M,0.546
719,Shard Moltenfish,600.0K,863.4K,252.6K,30.5%,602,0.546
720,Flaming Heart,100,447,341,77.6%,41.1K,0.546
721,Enchantment Sunder 4,12,1.53M,1.51M,100.0%,10,0.546
722,Shard Praying Mantis,75.4K,99.2K,22.6K,24.0%,9.0K,0.546
723,Bulky Stone,100.1K,5.77M,5.60M,98.3%,3,0.546
724,Enchantment Ultimate Refrigerate 5,35.59M,50.00M,13.78M,28.8%,16,0.546
725,Shard Cod,2.0K,2.5K,436,18.8%,573.4K,0.545
726,Oil Barrel,4.0K,4.9K,803,17.6%,371.0K,0.545
727,Enchantment Ultimate Soul Eater 4,5.98M,10.50M,4.39M,43.1%,20,0.545
728,Shard Starborn,7.18M,9.24M,1.94M,22.2%,166,0.545
729,Enchantment Turbo Pumpkin 4,7.3K,900.0K,881.4K,99.2%,16,0.545
730,Shard Flash,40.4K,53.8K,12.8K,24.9%,13.7K,0.545
731,Snoozling,5.47M,6.54M,986.5K,16.3%,574,0.545
732,Moonflower,1,3,2,73.0%,3.99M,0.545
733,Shard Moray Eel,311.0K,500.0K,182.8K,37.8%,492,0.545
734,Enchantment Ultimate Flash 4,19.39M,60.00M,39.86M,67.7%,1,0.545
735,Enchanted Cocoa,455,514,53,11.6%,10.70M,0.545
736,Enchantment Smoldering 3,7.64M,36.00M,27.91M,78.8%,0,0.544
737,Enchantment Overload 4,666.8K,7.00M,6.25M,90.5%,3,0.544
738,Wool,0,9,9,98.8%,621.0K,0.544
739,Sea Lumies,462,747,275,38.2%,193.1K,0.544
740,Enchantment Ultimate Swarm 4,1.79M,7.20M,5.32M,75.2%,5,0.544
741,Enchanted Hopper,270.0K,320.0K,46.0K,15.6%,10.3K,0.544
742,Enchantment Turbo Rose 2,36.0K,410.3K,369.2K,91.2%,40,0.544
743,Torn Cloth,194.0K,246.0K,48.9K,21.1%,5.2K,0.544
744,Enchanted Blaze Powder,1.6K,1.9K,291,16.6%,999.6K,0.544
745,Enchantment Mana Vampire 6,900.0K,3.34M,2.40M,73.1%,11,0.544
746,Fermento,247.5K,269.5K,18.6K,8.2%,89.1K,0.544
747,Enchantment Ultimate Inferno 2,13.3K,16.00M,15.79M,99.9%,0,0.543
748,Griffin Feather,190.7K,205.6K,12.3K,7.2%,166.6K,0.543
749,Shard Etherdrake,1.54M,1.89M,320.8K,18.2%,1.2K,0.543
750,Enchanted Moonflower,626,720,84,13.0%,5.06M,0.543
751,Enchantment Mana Vampire 4,167.8K,400.0K,227.2K,58.1%,153,0.543
752,Enchantment Tidal 1,1.27M,2.65M,1.34M,51.8%,37,0.543
753,Large Enchanted Chest,316.5K,392.2K,70.9K,19.3%,4.3K,0.543
754,Enchantment Ferocious Mana 3,60.0K,222.2K,159.4K,73.0%,132,0.543
755,Flawed Peridot Gem,584,994,396,41.2%,111.7K,0.543
756,Lumino Fiber,484.7K,592.6K,100.4K,18.2%,3.5K,0.543
757,Shard Rain Slime,11.9K,16.4K,4.3K,27.4%,28.2K,0.543
758,Essence Gold,521,582,53,10.4%,12.05M,0.543
759,Enchantment Quantum 5,1.86M,3.58M,1.67M,47.9%,35,0.543
760,Enchantment Turbo Pumpkin 3,1.5K,360.7K,354.7K,99.6%,33,0.543
761,Enchantment Smarty Pants 3,422.9K,2.40M,1.95M,82.4%,10,0.543
762,Fel Pearl,8.9K,12.2K,3.1K,26.9%,39.0K,0.543
763,Raw Beef,0,2,2,96.3%,2.10M,0.543
764,Millenia Old Blaze Ashes,1.3K,3.7K,2.4K,65.5%,8.1K,0.542
765,Enchantment Forest Pledge 3,286.3K,500.0K,207.4K,42.7%,305,0.542
766,Mithril Ore,7,11,4,40.9%,6.82M,0.542
767,Enchantment Ultimate First Impression 2,0,89.3K,88.2K,100.0%,118,0.542
768,Chocolate Chip,370.0K,552.2K,175.3K,33.0%,603,0.542
769,Enchantment Turbo Carrot 3,401,364.7K,359.7K,99.9%,32,0.542
770,Shard Tortoise,150.0K,230.0K,77.1K,34.8%,1.2K,0.542
771,Sulphuric Coal,7.0K,8.3K,1.2K,15.5%,295.0K,0.542
772,Shard Condor,341.7K,552.5K,203.9K,38.2%,387,0.542
773,Volcanic Rock,1.99M,2.36M,341.3K,15.7%,1.5K,0.542
774,Ectoplasm,174.6K,199.2K,22.2K,12.4%,30.1K,0.542
775,Tungsten Key,3.46M,3.80M,294.9K,9.0%,5.2K,0.542
776,Enchantment Quick Bite 2,76.9K,15.00M,14.74M,99.5%,0,0.542
777,Enchantment Cayenne 4,5.00M,13.90M,8.73M,64.0%,4,0.542
778,Shard Seagull,120.5K,188.9K,66.0K,36.2%,1.2K,0.542
779,Shard Troglobyte,55.0K,70.0K,14.1K,21.4%,14.8K,0.542
780,Shard Caiman,250.3K,351.2K,96.5K,28.7%,1.3K,0.542
781,Shard Mist,22.7K,31.0K,7.9K,26.9%,15.7K,0.542
782,Blue Ice Hunk,123.8K,145.7K,20.1K,15.0%,21.7K,0.541
783,Shard Rana,41.8K,80.0K,37.2K,47.7%,1.1K,0.541
784,Enchantment Turbo Carrot 4,16.0K,733.3K,708.2K,97.8%,17,0.541
785,Iridium,4.7K,15.0K,10.1K,68.7%,1.8K,0.541
786,Kelvin Inverter,93.0K,163.5K,68.4K,43.1%,794,0.541
787,Enchanted Netherrack,80,330,246,75.8%,46.5K,0.541
788,Enchantment Ultimate Habanero Tactics 5,180.00M,243.90M,60.85M,26.2%,4,0.541
789,Octopus Tendril,2.79M,4.00M,1.16M,30.2%,118,0.541
790,Enchantment Green Thumb 3,8.13M,11.78M,3.50M,31.0%,40,0.541
791,Enchantment Mana Vampire 2,37.7K,133.5K,94.2K,71.8%,206,0.541
792,Enchanted Sulphur,1.4K,1.7K,265,16.5%,970.9K,0.541
793,Protector Fragment,7.3K,9.8K,2.4K,25.3%,53.4K,0.541
794,Light Bait,713,2.6K,1.9K,72.7%,7.6K,0.541
795,Enchantment Charm 1,15.2K,34.0K,18.4K,55.3%,1.6K,0.541
796,Fleshtrap,275.5K,352.1K,72.1K,21.7%,3.0K,0.541
797,The Art Of War,8.34M,9.21M,754.8K,9.4%,1.9K,0.540
798,Magma Core,380.8K,479.8K,93.0K,20.6%,2.6K,0.540
799,Frozen Bauble,3.84M,6.50M,2.58M,41.0%,29,0.540
800,Shard Bullfrog,132.3K,190.0K,55.4K,30.4%,1.9K,0.540
801,Silver Fang,7.9K,9.7K,1.7K,19.1%,123.2K,0.540
802,Moonstone,690.9K,1.50M,790.7K,54.0%,49,0.540
803,Plot Eraser,19.8K,35.0K,14.8K,43.5%,3.0K,0.540
804,Flawed Ruby Gem,277,469,186,40.9%,200.8K,0.540
805,Enchantment Ultimate Wisdom 3,347.5K,694.9K,338.8K,50.0%,124,0.540
806,Shard Miner Zombie,12.7K,14.0K,1.2K,9.7%,687.2K,0.540
807,Flawless Opal Gem,2.11M,2.56M,423.6K,17.8%,828,0.539
808,Griffin Upgrade Stone Uncommon,838.0K,4.50M,3.61M,81.4%,5,0.539
809,Enchantment Paleontologist 3,341.4K,2.55M,2.18M,86.6%,7,0.539
810,Enchantment Ultimate Bank 4,600,200.0K,196.9K,99.7%,49,0.539
811,Jerry Box Green,97.5K,134.0K,34.8K,27.2%,3.5K,0.539
812,Shard Water Hydra,168.5K,214.1K,42.9K,21.3%,4.7K,0.539
813,Enchantment Charm 4,6.1K,4.00M,3.94M,99.8%,3,0.539
814,Water Orb,96.1K,247.2K,148.0K,61.1%,172,0.539
815,Enchantment Smoldering 1,3.94M,4.50M,499.4K,12.3%,1.5K,0.539
816,Bone,0,4,3,83.7%,1.77M,0.539
817,Wither Shield Scroll,224.22M,236.89M,9.71M,5.3%,515,0.539
818,Enchantment Growth 7,51.00M,60.00M,8.25M,15.0%,72,0.539
819,Enchantment Ultimate Crop Fever 2,3.06M,5.44M,2.32M,43.8%,26,0.539
820,Mithril Plate,5.05M,5.45M,328.4K,7.3%,6.3K,0.539
821,Enchantment Turbo Sunflower 2,368.2K,1.22M,831.8K,69.7%,26,0.539
822,Enchantment Ultimate Wise 1,88.6K,105.8K,15.9K,16.3%,20.2K,0.539
823,Mangcore,206.1K,245.0K,35.8K,15.9%,10.0K,0.539
824,Enchantment Strong Mana 3,447.4K,755.3K,298.5K,40.8%,202,0.539
825,Hamster Wheel,19.3K,22.5K,2.9K,14.0%,133.9K,0.539
826,Farming For Dummies,949.3K,1.01M,47.8K,6.0%,55.9K,0.538
827,Dragon Scale,8,10.7K,10.6K,99.9%,711,0.538
828,Enchantment Turbo Coco 5,100.0K,399.8K,294.8K,75.0%,58,0.538
829,Enchanted Cake,5.1K,40.0K,34.4K,87.4%,312,0.538
830,Ancient Claw,192,388,191,50.5%,119.3K,0.538
831,Enchantment Quantum 3,351.5K,547.5K,189.2K,35.8%,391,0.538
832,Enchantment Reflection 4,438.5K,4.00M,3.51M,89.0%,4,0.538
833,Fifth Master Star,117.39M,125.21M,6.26M,6.2%,539,0.538
834,Shard Bramble,77.5K,104.7K,25.9K,26.0%,4.7K,0.538
835,Guardian Lucky Block,2.96M,3.80M,789.4K,22.0%,277,0.538
836,Generator Upgrade Stone Clay 12,12.15M,15.00M,2.66M,19.0%,121,0.538
837,Flames,49.4K,66.3K,16.1K,25.5%,7.6K,0.537
838,Spider Eye,1,7,5,77.0%,1.21M,0.537
839,Molten Powder,284.6K,315.3K,26.8K,9.8%,33.5K,0.537
840,Kismet Feather,1.19M,1.25M,44.2K,4.8%,90.8K,0.537
841,Enchantment Ultimate Reiterate 4,3.00M,20.00M,16.75M,85.0%,0,0.537
842,Enchantment Reflection 2,1.0K,900.1K,887.8K,99.9%,11,0.537
843,Shard Dreadwing,53.0K,68.8K,14.9K,23.0%,9.9K,0.537
844,Enchanted Raw Beef,524,651,118,19.5%,1.23M,0.537
845,Enchantment Pristine 3,2.25M,18.00M,15.52M,87.5%,1,0.537
846,Shard Viper,159.3K,179.6K,18.0K,11.3%,35.4K,0.537
847,Enchanted Ancient Claw,32.0K,38.9K,6.4K,17.7%,36.6K,0.537
848,Hotspot Water Orb,11.17M,18.62M,7.22M,40.0%,10,0.537
849,Perfect Peridot Gem,27.22M,29.11M,1.53M,6.5%,1.7K,0.537
850,Enchantment Transylvanian 4,129.5K,365.3K,231.2K,64.5%,91,0.537
851,Griffin Upgrade Stone Epic,7.76M,19.00M,11.00M,59.1%,3,0.536
852,Fuel Gabagool,14.1K,20.5K,6.1K,31.1%,11.8K,0.536
853,Enchantment Hecatomb 1,5.14M,6.00M,789.7K,14.4%,623,0.536
854,Enchantment Ultimate Flash 2,4.91M,14.00M,8.92M,64.9%,3,0.536
855,Fine Sapphire Gem,29.4K,32.4K,2.7K,9.5%,290.5K,0.536
856,Shard Ladybug,270.1K,355.0K,80.5K,23.9%,1.8K,0.536
857,Enchantment Scavenger 4,3.1K,24.7K,21.2K,87.2%,442,0.536
858,Enchantment Pristine 1,1.21M,1.86M,625.7K,34.9%,124,0.536
859,Diver Fragment,3.65M,4.03M,331.6K,9.5%,3.2K,0.536
860,Enchantment Luck 7,22.00M,27.40M,5.06M,19.7%,57,0.536
861,Enchantment Turbo Melon 5,650.9K,1.19M,525.8K,45.4%,84,0.536
862,Enchantment Tidal 3,6.18M,12.00M,5.67M,48.5%,8,0.536
863,Enchantment Ultimate Inferno 1,7.50M,9.44M,1.82M,20.5%,134,0.536
864,Enchantment Ultimate Rend 5,925.0K,7.78M,6.76M,88.1%,2,0.536
865,Enchanted Feather,386,511,118,24.5%,712.7K,0.535
866,Minnow Bait,1,29,27,94.9%,170.7K,0.535
867,Enchantment Ultimate Soul Eater 3,2.91M,4.99M,2.02M,41.7%,28,0.535
868,Enchantment Ultimate Soul Eater 2,763.7K,2.00M,1.21M,61.8%,20,0.535
869,Shard Burningsoul,85.8K,94.2K,7.2K,8.9%,125.3K,0.535
870,Enchantment Turbo Cactus 5,67.6K,213.8K,143.4K,68.4%,118,0.535
871,Brimstone Handle,80.3K,286.3K,202.5K,72.0%,77,0.535
872,Prismarine Crystals,587,836,239,29.8%,243.4K,0.535
873,Jerry Box Golden,635.6K,922.7K,275.6K,31.1%,319,0.535
874,Shard Fire Eel,74.0K,86.8K,11.7K,14.7%,27.7K,0.535
875,Enchanted Titanium,17.0K,18.4K,1.2K,7.6%,902.9K,0.535
876,Shard Goldfin,45.1K,71.9K,25.9K,37.3%,2.0K,0.535
877,Devourer,8.99M,10.43M,1.31M,13.9%,391,0.535
878,Shard Matcho,64.6K,86.1K,20.4K,25.0%,5.6K,0.535
879,Enchantment Strong Mana 2,179.0K,370.0K,186.4K,51.6%,162,0.535
880,Golden Fragment,6.18M,7.21M,945.3K,14.4%,489,0.535
881,Fateful Stinger,14.19M,17.98M,3.56M,21.1%,65,0.535
882,Hot Potato Book,72.6K,82.7K,9.0K,12.2%,51.4K,0.534
883,Enchantment Ultimate Wise 3,285.0K,572.0K,279.8K,50.2%,116,0.534
884,Glowstone Dust,1,7,5,76.0%,1.15M,0.534
885,Enchantment Turbo Carrot 2,0,175.0K,172.8K,100.0%,44,0.534
886,Enchantment Green Thumb 1,2.08M,2.23M,115.1K,6.4%,17.7K,0.534
887,Startlevine,4.00M,4.74M,676.8K,15.5%,557,0.534
888,Shard Lizard King,144.9K,190.0K,42.7K,23.7%,3.0K,0.534
889,Essence Wither,2.6K,2.7K,98,4.9%,21.73M,0.534
890,Wheat,3,6,2,45.6%,6.00M,0.534
891,Sunflower Oil,6.3K,8.0K,1.6K,21.4%,78.5K,0.534
892,Shard Falcon,300.0K,400.0K,95.0K,25.0%,1.3K,0.534
893,White Gift,4.7K,5.4K,653,13.4%,467.6K,0.534
894,Enchantment Ferocious Mana 8,500.0K,11.50M,10.86M,95.7%,0,0.534
895,Shard Naga,221.9K,309.0K,83.2K,28.2%,1.1K,0.534
896,Enchantment Strong Mana 6,2.63M,7.99M,5.26M,67.1%,4,0.533
897,Blue Ring,429.8K,487.5K,51.6K,11.8%,10.2K,0.533
898,Enchantment Ultimate Fatal Tempo 1,91.94M,103.69M,10.46M,11.3%,79,0.533
899,Enchantment Ultimate Rend 1,221.9K,404.3K,177.4K,45.1%,205,0.533
900,Shard Sparrow,122.4K,163.2K,38.8K,25.0%,2.8K,0.533
901,Essence Dragon,3.1K,3.4K,183,6.7%,6.02M,0.533
902,Shard Firefly,218.1K,267.0K,45.5K,18.3%,4.6K,0.533
903,Enchantment Turbo Potato 1,0,1.3K,1.3K,100.0%,3.8K,0.533
904,Enchantment Ultimate Legion 3,6.42M,9.50M,2.97M,32.5%,29,0.533
905,Enchanted Carrot,482,537,48,10.2%,8.60M,0.532
906,Glacite Amalgamation,1.33M,1.45M,106.0K,8.5%,9.8K,0.532
907,Severed Hand,8.92M,11.00M,1.94M,18.9%,129,0.532
908,Filled Rosewater Flask,12.07M,13.46M,1.22M,10.3%,687,0.532
909,Enchantment Ultimate Refrigerate 3,7.50M,13.50M,5.83M,44.4%,8,0.532
910,Lava Water Orb,684.3K,1.69M,983.0K,59.5%,23,0.532
911,Enchantment Fire Protection 7,1.31M,2.07M,729.4K,36.5%,82,0.532
912,Ethereal Vine,20.4K,22.3K,1.6K,8.4%,481.2K,0.532
913,Condensed Helianthus,14.55M,15.87M,1.11M,8.3%,1.2K,0.532
914,Shard Hideondra,353.7K,440.0K,80.8K,19.6%,2.2K,0.532
915,Shard Molthorn,8.07M,9.30M,1.12M,13.3%,431,0.532
916,Solar Panel,49.9K,130.0K,78.5K,61.6%,219,0.532
917,Burning Eye,852,1.3K,384,32.0%,115.0K,0.531
918,Enchantment Ultimate Flowstate 1,0,1.7K,1.6K,100.0%,2.9K,0.531
919,Enchantment Absorb 1,3.31M,4.07M,709.3K,18.7%,318,0.531
920,Goblin Egg Yellow,8.2K,10.6K,2.2K,22.4%,46.0K,0.531
921,Enchantment Ultimate Last Stand 2,146.5K,186.4K,37.6K,21.4%,3.7K,0.531
922,Shard Pest,17.5K,19.1K,1.3K,8.3%,561.8K,0.531
923,Fine Amber Gem,27.6K,30.6K,2.7K,9.9%,206.0K,0.531
924,Shard Piranha,30.0K,35.8K,5.4K,16.2%,39.4K,0.531
925,Blaze Rod Distillate,5.0K,12.6K,7.4K,60.2%,2.0K,0.530
926,Enchantment Turbo Cane 4,0,430.5K,425.1K,100.0%,16,0.530
927,Bronze Bowl,5.2K,8.1K,2.9K,36.4%,13.2K,0.530
928,Enchantment Ultimate Flash 3,12.94M,25.50M,12.24M,49.3%,3,0.530
929,Precious Pearl,450.3K,599.2K,141.4K,24.9%,766,0.530
930,Enchantment Ultimate Last Stand 1,80.2K,99.9K,18.4K,19.7%,8.2K,0.530
931,Green Gift,6.7K,8.1K,1.3K,17.0%,132.7K,0.530
932,Enchantment Titan Killer 7,10.18M,13.00M,2.66M,21.7%,66,0.530
933,Rough Jade Gem,0,6,5,89.1%,685.7K,0.530
934,Enchantment Turbo Cane 3,3,158.8K,156.9K,100.0%,40,0.530
935,Helianthus,1.60M,1.68M,58.4K,4.7%,51.9K,0.530
936,Enchantment Cultivating 1,3.53M,3.86M,289.2K,8.7%,3.3K,0.530
937,Enchantment Ultimate Refrigerate 2,3.43M,7.46M,3.94M,54.0%,7,0.530
938,Sunstone,900.0K,1.80M,878.2K,50.0%,33,0.530
939,Enchanted Endstone,275,359,79,23.4%,885.9K,0.530
940,Shard Dragonfly,1.04M,1.45M,392.7K,28.3%,222,0.530
941,Shard Iguana,459.9K,628.4K,160.7K,26.8%,570,0.530
942,Feather,0,6,5,96.7%,549.8K,0.530
943,Enchantment Mana Vampire 10,16.00M,33.00M,16.59M,51.5%,2,0.530
944,Enchantment Turbo Rose 5,1.30M,3.24M,1.90M,59.8%,11,0.530
945,Shard Crow,140.1K,173.5K,31.3K,19.3%,5.1K,0.530
946,Refined Amber,249.5K,1.10M,831.9K,77.2%,14,0.530
947,Shard Gecko,590.0K,698.5K,99.7K,15.5%,2.7K,0.530
948,Chum,0,1,1,89.8%,1.94M,0.529
949,Implosion Scroll,222.47M,233.06M,7.67M,4.5%,584,0.529
950,Medium Pig Ear,580.3K,824.8K,234.2K,29.6%,320,0.529
951,Enchanted Mangrove Log,1.3K,1.5K,162,12.4%,1.65M,0.529
952,Enchanted Wheat,922,983,49,6.2%,20.20M,0.529
953,Enchanted Sponge,1.9K,2.5K,657,27.1%,89.5K,0.529
954,Enchanted Huge Mushroom 2,242.3K,256.2K,10.7K,5.4%,182.7K,0.529
955,Enchantment Ultimate Legion 2,3.68M,5.07M,1.33M,27.5%,74,0.529
956,Lucky Dice,446.2K,2.11M,1.64M,78.9%,7,0.529
957,Fine Peridot Gem,53.8K,57.0K,2.5K,5.6%,630.2K,0.528
958,Enchantment Ultimate Soul Eater 5,15.00M,17.50M,2.28M,14.3%,165,0.528
959,Shard Bambloom,149.3K,190.0K,38.3K,21.4%,3.2K,0.528
960,Enchantment Prosperity 2,304.0K,8.64M,8.22M,96.5%,1,0.528
961,Enchantment Ultimate Reiterate 2,1.06M,3.85M,2.74M,72.4%,5,0.528
962,Spider Catalyst,30.0K,42.4K,11.8K,29.2%,5.0K,0.528
963,Flawless Onyx Gem,1.52M,1.67M,132.1K,9.2%,5.7K,0.528
964,Enchantment Overload 5,9.28M,11.89M,2.45M,21.9%,63,0.528
965,Enchantment Ultimate The One 5,72.75M,125.00M,50.69M,41.8%,1,0.528
966,Scuttler Shell,11.90M,18.08M,5.96M,34.2%,11,0.528
967,Enchantment Paleontologist 5,2.54M,4.51M,1.92M,43.8%,19,0.528
968,Enchantment Ice Cold 1,3.58M,3.92M,289.3K,8.6%,3.1K,0.528
969,Enchantment Hardened Mana 3,20.0K,124.8K,103.2K,84.0%,75,0.528
970,Enchanted String,586,670,75,12.5%,2.99M,0.527
971,Auto Smelter,700,2.8K,2.1K,75.2%,3.5K,0.527
972,Egg,15,79,62,80.7%,77.8K,0.527
973,Avaricious Chalice,114.87M,128.09M,11.62M,10.3%,67,0.527
974,Terry Snowglobe,1.14M,1.73M,567.8K,34.0%,96,0.527
975,Shark Bait,3,122,117,97.4%,29.2K,0.527
976,Huge Mushroom 1,31,170,137,81.4%,36.4K,0.527
977,Rough Ruby Gem,1,7,6,82.3%,608.6K,0.527
978,Midas Jewel,1.0K,33.3K,31.9K,97.0%,160,0.527
979,Shard Daemon,1.27M,1.46M,169.8K,12.9%,2.1K,0.527
980,Enchanted Hard Stone,511,614,95,16.8%,1.29M,0.527
981,Enchantment Small Brain 5,5.65M,20.25M,14.35M,72.1%,0,0.527
982,Enchantment Ferocious Mana 10,12.08M,23.15M,10.78M,47.8%,3,0.526
983,Enchantment Hardened Mana 8,500,7.00M,6.91M,100.0%,0,0.526
984,Flawless Amethyst Gem,2.11M,2.39M,242.3K,11.4%,1.9K,0.526
985,Nightswitch,31,40.0K,39.5K,99.9%,120,0.526
986,Red Rose,15,39,23,61.3%,316.9K,0.526
987,Enchantment Ultimate Jerry 5,6.9K,100.0K,91.9K,93.1%,63,0.526
988,Enchantment Respite 1,806,26.2K,25.0K,96.9%,194,0.526
989,Ritual Residue,2.05M,2.30M,223.0K,10.9%,2.2K,0.526
990,Shard Python,172.0K,210.0K,35.4K,18.1%,4.4K,0.526
991,Fig Log,3,7,4,59.2%,1.57M,0.526
992,Sadan Brooch,100,72.0K,71.0K,99.9%,68,0.526
993,Essence Forest,810,859,38,5.8%,24.99M,0.525
994,Enchanted Gold Block,78.4K,83.4K,3.9K,6.0%,320.0K,0.525
995,Prismarine Shard,0,3,3,93.9%,873.2K,0.525
996,Enchanted Sunflower,611,675,56,9.6%,6.19M,0.525
997,Sludge Juice,1.5K,1.7K,100,7.3%,6.31M,0.525
998,Perfect Aquamarine Gem,10.32M,11.38M,923.7K,9.4%,786,0.525
999,Enchantment Ferocious Mana 9,4.36M,17.00M,12.43M,74.4%,0,0.525
1000,Soul String,4.8K,5.4K,556,11.5%,501.1K,0.525
1001,Enchantment Life Steal 5,6.83M,8.91M,1.97M,23.4%,58,0.525
1002,Enchantment Ultimate Reiterate 5,18.54M,25.24M,6.39M,26.6%,15,0.525
1003,Jerry Box Blue,103.8K,141.6K,36.1K,26.7%,1.8K,0.524
1004,Diamonite,1.97M,2.70M,696.5K,27.0%,112,0.524
1005,Enchanted Ink Sack,91.5K,103.2K,10.4K,11.4%,32.7K,0.524
1006,Pitchin Koi,16.3K,29.3K,12.6K,44.4%,1.6K,0.524
1007,Moby Duck Collector Edition,6.90M,9.00M,1.99M,23.3%,55,0.523
1008,Enchantment Quantum 4,112.3K,1.20M,1.07M,90.6%,6,0.523
1009,Enchantment Smarty Pants 5,6.00M,9.28M,3.16M,35.3%,15,0.523
1010,Shard Blizzard,236.0K,338.0K,97.8K,30.2%,521,0.523
1011,Enchantment Sunder 3,1.0K,500.0K,492.7K,99.8%,10,0.523
1012,Shard Revenant,79.3K,96.1K,15.6K,17.5%,8.7K,0.523
1013,Enchantment Lure 6,0,10.0K,9.9K,100.0%,374,0.523
1014,Enchanted Water Lily,1.6K,2.1K,456,23.2%,129.8K,0.523
1015,Shard Quake,59.7K,74.0K,13.4K,19.3%,8.1K,0.522
1016,Water Lily,3,10,7,70.4%,636.4K,0.522
1017,Perfect Amber Gem,13.62M,14.60M,793.1K,6.7%,1.6K,0.522
1018,Shard Wither,600.2K,675.7K,67.1K,11.2%,5.5K,0.522
1019,Enchanted Tender Wood,31.3K,38.0K,6.2K,17.6%,19.5K,0.522
1020,Enchantment Pristine 2,799.5K,8.00M,7.10M,90.0%,1,0.522
1021,Raw Fish:1,3,8,5,62.3%,1.04M,0.522
1022,Blastberry,1.50M,1.68M,155.5K,10.5%,2.8K,0.522
1023,Golden Ball,1.03M,1.30M,259.1K,21.1%,420,0.522
1024,Superlite Motor,69.2K,83.2K,13.0K,16.8%,10.7K,0.522
1025,Derelict Ashe,1.7K,1.9K,195,11.7%,1.09M,0.522
1026,Inferno Apex,12.00M,15.00M,2.81M,20.0%,50,0.521
1027,Spooky Water Orb,890.0K,2.60M,1.68M,65.8%,7,0.521
1028,Jacobs Ticket,48.2K,50.2K,1.4K,4.0%,1.64M,0.521
1029,Enchanted Cactus Green,606,654,40,7.4%,12.08M,0.521
1030,Foraging Fortune Booster,37.8K,57.6K,19.1K,34.4%,1.7K,0.521
1031,Enchantment Experience 4,330.0K,600.0K,262.5K,45.0%,84,0.521
1032,Heavy Pearl,257.9K,276.9K,15.5K,6.9%,54.4K,0.521
1033,Enchantment Cubism 6,56.66M,64.00M,6.54M,11.5%,69,0.521
1034,Enchanted Oak Log,1.3K,1.4K,150,11.7%,1.33M,0.520
1035,Enchantment Ultimate Crop Fever 3,6.00M,8.88M,2.77M,32.4%,18,0.520
1036,Enchanted Glacite,1.8K,2.0K,187,10.5%,1.35M,0.520
1037,Enchantment Ultimate Legion 5,30.59M,35.40M,4.37M,13.6%,69,0.520
1038,Enchanted Quartz Block,121.0K,130.0K,7.4K,6.9%,103.7K,0.520
1039,Beady Eyes,17.6K,26.9K,8.9K,34.4%,3.2K,0.520
1040,Enchantment Ultimate First Impression 5,221.0K,333.8K,108.7K,33.8%,329,0.520
1041,Enchanted Pork,1.3K,1.5K,132,10.3%,1.92M,0.520
1042,Shard Aero,144.0K,182.7K,36.5K,21.2%,2.3K,0.520
1043,Enchantment Ultimate Flowstate 2,1,32.8K,32.4K,100.0%,109,0.520
1044,Rabbit Foot,0,5,5,96.6%,363.5K,0.520
1045,Titanium Tesseract,879.1K,1.19M,297.9K,26.2%,214,0.520
1046,Shard Basilisk,148.9K,230.0K,78.2K,35.2%,400,0.519
1047,Enchantment Ice Cold 3,11.56M,27.90M,16.00M,58.6%,0,0.519
1048,Sil Ex,2.67M,3.19M,482.1K,16.3%,352,0.519
1049,Enchanted Sugar,611,658,38,7.0%,12.79M,0.519
1050,Shard Salamander,172.1K,210.0K,35.2K,18.0%,3.3K,0.519
1051,Enchantment Compact 1,3.40M,3.94M,487.4K,13.6%,504,0.519
1052,Enchanted Coal,1.5K,1.6K,111,8.2%,3.42M,0.519
1053,Hypergolic Gabagool,4.08M,4.38M,240.0K,6.7%,4.1K,0.519
1054,Green Candy,1.5K,1.7K,154,10.3%,1.58M,0.519
1055,Golem Poppy,262.2K,296.6K,30.7K,11.6%,9.0K,0.519
1056,Enchantment Projectile Protection 7,1.50M,2.31M,781.1K,35.1%,46,0.519
1057,Mangrove Log,3,8,5,63.3%,828.0K,0.519
1058,Perfect Jasper Gem,28.02M,29.72M,1.32M,5.7%,1.2K,0.519
1059,Overflowing Trash Can,4.2K,10.0K,5.7K,58.2%,1.6K,0.519
1060,Refined Bottle Of Jyrre,2.97M,3.64M,624.3K,18.4%,210,0.519
1061,Shard Cryo,180.9K,241.1K,57.2K,25.0%,1.0K,0.518
1062,Enchantment Green Thumb 5,34.19M,37.87M,3.21M,9.7%,169,0.518
1063,Enchantment Turbo Potato 4,101,300.0K,296.1K,100.0%,13,0.518
1064,Overgrown Grass,6.86M,7.35M,398.3K,6.7%,2.5K,0.518
1065,Dwarven Os Ore Oats,0,550,542,99.9%,4.5K,0.518
1066,Enchantment Ultimate Missile 5,50.0K,138.6K,86.8K,63.9%,101,0.518
1067,Enchantment Dedication 4,33.69M,36.67M,2.52M,8.1%,302,0.518
1068,Rough Sapphire Gem,1,5,4,80.0%,584.4K,0.518
1069,Great White Tooth Meal,3.60M,6.74M,3.06M,46.6%,7,0.518
1070,Fine Jasper Gem,62.1K,66.8K,4.0K,7.2%,155.7K,0.518
1071,Enchantment Looting 5,90.57M,99.69M,7.88M,9.2%,81,0.518
